RecNum	DateTime	KAUST_LT_Tank1-S33.5A
362	07/28/19 12:05:00 AM	36.079
363	07/28/19 12:10:00 AM	36.079
364	07/28/19 12:15:00 AM	36.187
365	07/28/19 12:20:00 AM	36.187
366	07/28/19 12:25:00 AM	36.187
367	07/28/19 12:30:00 AM	36.187
368	07/28/19 12:35:00 AM	36.187
369	07/28/19 12:40:00 AM	36.295
370	07/28/19 12:45:00 AM	36.295
371	07/28/19 12:50:00 AM	36.403
372	07/28/19 12:55:00 AM	36.403
373	07/28/19 01:00:00 AM	36.403
374	07/28/19 01:05:00 AM	36.403
375	07/28/19 01:10:00 AM	36.403
376	07/28/19 01:15:00 AM	36.511
377	07/28/19 01:20:00 AM	36.511
378	07/28/19 01:25:00 AM	36.511
379	07/28/19 01:30:00 AM	36.511
380	07/28/19 01:35:00 AM	36.511
381	07/28/19 01:40:00 AM	36.511
382	07/28/19 01:45:00 AM	36.620
383	07/28/19 01:50:00 AM	36.620
384	07/28/19 01:55:00 AM	36.511
385	07/28/19 02:00:00 AM	36.511
386	07/28/19 02:05:00 AM	36.620
387	07/28/19 02:10:00 AM	36.620
388	07/28/19 02:15:00 AM	36.620
389	07/28/19 02:20:00 AM	36.620
390	07/28/19 02:25:00 AM	36.728
391	07/28/19 02:30:00 AM	36.728
392	07/28/19 02:35:00 AM	36.620
393	07/28/19 02:40:00 AM	36.620
394	07/28/19 02:45:00 AM	36.728
395	07/28/19 02:50:00 AM	36.728
396	07/28/19 02:55:00 AM	36.728
397	07/28/19 03:00:00 AM	36.728
398	07/28/19 03:05:00 AM	36.728
399	07/28/19 03:10:00 AM	36.728
400	07/28/19 03:15:00 AM	36.728
401	07/28/19 03:20:00 AM	36.620
402	07/28/19 03:25:00 AM	36.728
403	07/28/19 03:30:00 AM	36.728
404	07/28/19 03:35:00 AM	36.620
405	07/28/19 03:40:00 AM	36.620
406	07/28/19 03:45:00 AM	36.728
407	07/28/19 03:50:00 AM	36.728
408	07/28/19 03:55:00 AM	36.620
409	07/28/19 04:00:00 AM	36.620
410	07/28/19 04:05:00 AM	36.620
411	07/28/19 04:10:00 AM	36.620
412	07/28/19 04:15:00 AM	36.728
413	07/28/19 04:20:00 AM	36.728
414	07/28/19 04:25:00 AM	36.728
415	07/28/19 04:30:00 AM	36.620
416	07/28/19 04:35:00 AM	36.728
417	07/28/19 04:40:00 AM	36.620
418	07/28/19 04:45:00 AM	36.620
419	07/28/19 04:50:00 AM	36.728
420	07/28/19 04:55:00 AM	36.620
421	07/28/19 05:00:00 AM	36.728
422	07/28/19 05:05:00 AM	36.728
423	07/28/19 05:10:00 AM	36.728
424	07/28/19 05:15:00 AM	36.620
425	07/28/19 05:20:00 AM	36.728
426	07/28/19 05:25:00 AM	36.728
427	07/28/19 05:30:00 AM	36.728
428	07/28/19 05:35:00 AM	36.728
429	07/28/19 05:40:00 AM	36.728
430	07/28/19 05:45:00 AM	36.620
431	07/28/19 05:50:00 AM	36.728
432	07/28/19 05:55:00 AM	36.728
433	07/28/19 06:00:00 AM	36.728
434	07/28/19 06:05:00 AM	36.620
435	07/28/19 06:10:00 AM	36.728
436	07/28/19 06:15:00 AM	36.620
437	07/28/19 06:20:00 AM	36.728
438	07/28/19 06:25:00 AM	36.728
439	07/28/19 06:30:00 AM	36.728
440	07/28/19 06:35:00 AM	36.728
441	07/28/19 06:40:00 AM	36.728
442	07/28/19 06:45:00 AM	36.728
443	07/28/19 06:50:00 AM	36.728
444	07/28/19 06:55:00 AM	36.620
445	07/28/19 07:00:00 AM	36.620
446	07/28/19 07:05:00 AM	36.728
447	07/28/19 07:10:00 AM	36.728
448	07/28/19 07:15:00 AM	36.728
449	07/28/19 07:20:00 AM	36.620
450	07/28/19 07:25:00 AM	36.728
451	07/28/19 07:30:00 AM	36.728
452	07/28/19 07:35:00 AM	36.728
453	07/28/19 07:40:00 AM	36.728
454	07/28/19 07:45:00 AM	36.728
455	07/28/19 07:50:00 AM	36.728
456	07/28/19 07:55:00 AM	36.728
457	07/28/19 08:00:00 AM	36.728
458	07/28/19 08:05:00 AM	36.728
459	07/28/19 08:10:00 AM	36.728
460	07/28/19 08:15:00 AM	36.728
461	07/28/19 08:20:00 AM	36.728
462	07/28/19 08:25:00 AM	36.728
