RecNum	DateTime	KAUST_LT_Tank14-Control_32B
525	07/28/19 01:40:00 PM	30.457
526	07/28/19 01:45:00 PM	30.457
527	07/28/19 01:50:00 PM	30.054
528	07/28/19 01:55:00 PM	29.452
529	07/28/19 02:00:00 PM	28.853
530	07/28/19 02:05:00 PM	28.655
531	07/28/19 02:10:00 PM	29.452
532	07/28/19 02:15:00 PM	28.953
533	07/28/19 02:20:00 PM	29.053
534	07/28/19 02:25:00 PM	29.152
535	07/28/19 02:30:00 PM	29.152
536	07/28/19 02:35:00 PM	29.152
537	07/28/19 02:40:00 PM	29.152
538	07/28/19 02:45:00 PM	29.252
539	07/28/19 02:50:00 PM	29.452
540	07/28/19 02:55:00 PM	29.452
541	07/28/19 03:00:00 PM	29.352
542	07/28/19 03:05:00 PM	29.252
543	07/28/19 03:10:00 PM	29.352
544	07/28/19 03:15:00 PM	29.452
545	07/28/19 03:20:00 PM	29.452
546	07/28/19 03:25:00 PM	29.552
547	07/28/19 03:30:00 PM	29.552
548	07/28/19 03:35:00 PM	29.552
549	07/28/19 03:40:00 PM	29.352
550	07/28/19 03:45:00 PM	29.352
551	07/28/19 03:50:00 PM	29.452
552	07/28/19 03:55:00 PM	29.452
553	07/28/19 04:00:00 PM	29.552
554	07/28/19 04:05:00 PM	29.552
555	07/28/19 04:10:00 PM	29.552
556	07/28/19 04:15:00 PM	29.452
557	07/28/19 04:20:00 PM	29.452
558	07/28/19 04:25:00 PM	29.352
559	07/28/19 04:30:00 PM	29.352
560	07/28/19 04:35:00 PM	29.552
561	07/28/19 04:40:00 PM	29.652
562	07/28/19 04:45:00 PM	29.552
563	07/28/19 04:50:00 PM	29.552
564	07/28/19 04:55:00 PM	29.452
565	07/28/19 05:00:00 PM	29.352
566	07/28/19 05:05:00 PM	29.352
567	07/28/19 05:10:00 PM	29.452
568	07/28/19 05:15:00 PM	29.552
569	07/28/19 05:20:00 PM	29.552
570	07/28/19 05:25:00 PM	29.552
571	07/28/19 05:30:00 PM	29.552
572	07/28/19 05:35:00 PM	29.552
573	07/28/19 05:40:00 PM	29.552
574	07/28/19 05:45:00 PM	29.552
575	07/28/19 05:50:00 PM	29.552
576	07/28/19 05:55:00 PM	29.552
577	07/28/19 06:00:00 PM	29.452
578	07/28/19 06:05:00 PM	29.352
579	07/28/19 06:10:00 PM	29.352
580	07/28/19 06:15:00 PM	29.352
581	07/28/19 06:20:00 PM	29.452
582	07/28/19 06:25:00 PM	29.552
583	07/28/19 06:30:00 PM	29.752
584	07/28/19 06:35:00 PM	29.752
585	07/28/19 06:40:00 PM	29.853
586	07/28/19 06:45:00 PM	29.953
587	07/28/19 06:50:00 PM	30.054
588	07/28/19 06:55:00 PM	30.154
589	07/28/19 07:00:00 PM	30.255
590	07/28/19 07:05:00 PM	30.457
591	07/28/19 07:10:00 PM	30.558
592	07/28/19 07:15:00 PM	30.558
593	07/28/19 07:20:00 PM	30.659
594	07/28/19 07:25:00 PM	30.659
595	07/28/19 07:30:00 PM	30.760
596	07/28/19 07:35:00 PM	30.862
597	07/28/19 07:40:00 PM	30.862
598	07/28/19 07:45:00 PM	30.659
599	07/28/19 07:50:00 PM	30.558
600	07/28/19 07:55:00 PM	30.356
601	07/28/19 08:00:00 PM	30.154
602	07/28/19 08:05:00 PM	29.953
603	07/28/19 08:10:00 PM	29.853
604	07/28/19 08:15:00 PM	29.853
605	07/28/19 08:20:00 PM	29.853
606	07/28/19 08:25:00 PM	29.853
607	07/28/19 08:30:00 PM	29.853
608	07/28/19 08:35:00 PM	29.953
609	07/28/19 08:40:00 PM	29.953
610	07/28/19 08:45:00 PM	29.953
611	07/28/19 08:50:00 PM	29.853
612	07/28/19 08:55:00 PM	29.752
613	07/28/19 09:00:00 PM	29.752
